"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Parabank Functional Tests","User Profile","Update Profile Information","1","0","0","0","0"
"Parabank Functional Tests","Account Management","Open New Account","0","0","1","0","0"
"Parabank Functional Tests","Account Overview","View Accounts Overview","0","0","1","0","0"
"Parabank Functional Tests","Payments","Bill Payment","0","1","0","0","0"
"Parabank Functional Tests","Authentication","User Login","0","0","2","0","0"
"Parabank Functional Tests","Authentication","User Registration","0","0","1","0","0"
"Parabank Functional Tests","Dashboard","Home Page Navigation","0","0","1","0","0"
"Parabank Functional Tests","Funds Transfer","Transfer Money Between Accounts","0","1","0","0","0"
"Parabank Functional Tests","Dashboard","Home Page Loading","0","0","1","0","0"
