"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that funds can be transferred successfully between accounts and report defects if account options or confirmation messages are missing.","977","verifyTransferIsSuccessful","Parabank Suite","2026-07-21","failed","2026-07-21","com.victoria.parabank.tests.TransferTests","UI Tests","com.victoria.parabank.tests.TransferTests","verifyTransferIsSuccessful"
"Verify that the home page loads correctly and displays the expected welcome message.","182","verifyHomePageLoads","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.HomeTest","UI Tests","com.victoria.parabank.tests.HomeTest","verifyHomePageLoads"
"Verify that the Accounts Overview page is displayed correctly after login and report defects if the overview content is missing.","490","verifyAccountOverviewIsDisplayed","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.AccountsTests","UI Tests","com.victoria.parabank.tests.AccountsTests","verifyAccountOverviewIsDisplayed"
"Verify that login fails when invalid credentials are provided and the correct error message is displayed.","1018","verifyLoginFailsWithWrongCredentials","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.LoginTests","UI Tests","com.victoria.parabank.tests.LoginTests","verifyLoginFailsWithWrongCredentials"
"Verify that a user can log in successfully and report defects if authentication fails.","516","verifyLoginSuccessful","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.LoginTests","UI Tests","com.victoria.parabank.tests.LoginTests","verifyLoginSuccessful"
"Verify that a new user can register successfully and report defects if the registration confirmation message is incorrect or missing.","1174","verifyRegistrationIsSuccessful","Parabank Suite","2026-07-21","failed","2026-07-21","com.victoria.parabank.tests.RegisterTests","UI Tests","com.victoria.parabank.tests.RegisterTests","verifyRegistrationIsSuccessful"
"Verify that a bill payment can be submitted successfully and report defects if the payment confirmation is incorrect or missing.","1808","verifyBillPaymentIsSuccessful","Parabank Suite","2026-07-21","failed","2026-07-21","com.victoria.parabank.tests.BillPayTests","UI Tests","com.victoria.parabank.tests.BillPayTests","verifyBillPaymentIsSuccessful"
"Verify that a new account can be opened successfully and report defects if account options or confirmation messages are missing.","866","verifyOpenNewAccountIsSuccessful","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.OpenAccountTests","UI Tests","com.victoria.parabank.tests.OpenAccountTests","verifyOpenNewAccountIsSuccessful"
"Verify that user profile information can be updated successfully and report defects if the update confirmation or page title is incorrect.","1213","verifyProfileUpdateIsSuccessful","Parabank Suite","2026-07-21","failed","2026-07-21","com.victoria.parabank.tests.UpdateProfileTest","UI Tests","com.victoria.parabank.tests.UpdateProfileTest","verifyProfileUpdateIsSuccessful"
"Verify that navigation from the home page to the login page works correctly and the login form is visible.","163","verifyNavigationToLoginPage","Parabank Suite","2026-07-21","passed","2026-07-21","com.victoria.parabank.tests.HomeTest","UI Tests","com.victoria.parabank.tests.HomeTest","verifyNavigationToLoginPage"
